version,nthread,num_steps,runtime
"n_reduce",8,1000000,  0.001403
"critical",8,1000000,0.086791001
"reduce",8,1000000,  0.000379
"atomic",8,1000000,  0.053335
"n_reduce",8,1000000,0.00039299999
"critical",8,1000000,0.085856996
"reduce",8,1000000,0.00036999999
"atomic",8,1000000,  0.041862
"n_reduce",8,1000000,0.00041199999
"critical",8,1000000,0.084294997
"reduce",8,1000000,0.00041499999
"atomic",8,1000000,  0.041444
"n_reduce",8,1000000,0.00038400001
"critical",1,10000000,0.12825599
"reduce",1,10000000,0.0089579998
"atomic",1,10000000,0.097772002
"n_reduce",1,10000000,0.0088470001
"critical",1,10000000,  0.126947
"reduce",1,10000000,0.0088520003
"atomic",1,10000000,  0.095564
"n_reduce",1,10000000,0.0088299997
"critical",1,10000000,   0.12316
"reduce",1,10000000,0.0087400004
"atomic",1,10000000,0.097804002
"n_reduce",1,10000000,0.0088839997
"critical",1,10000000,  0.125921
"reduce",1,10000000,0.0088529997
"atomic",1,10000000,0.096028998
"n_reduce",1,10000000,0.0089299995
"critical",1,10000000,  0.124137
"reduce",1,10000000,0.0085110003
"atomic",1,10000000,0.098232999
"n_reduce",1,10000000,  0.009149
"critical",1,10000000,0.12747701
"reduce",1,10000000,0.0090530002
"atomic",1,10000000,0.097854003
"n_reduce",1,10000000,0.0088889999
"critical",1,10000000,0.12710901
"reduce",1,10000000,   0.00899
"atomic",1,10000000,0.098160997
"n_reduce",1,10000000,0.0092730001
"critical",1,10000000,  0.128078
"reduce",1,10000000,0.0089950003
"atomic",1,10000000,  0.098531
"n_reduce",1,10000000,0.0088799996
"critical",1,10000000,  0.125818
"reduce",1,10000000,0.0088560004
"atomic",1,10000000,0.096729003
"n_reduce",1,10000000,  0.008831
"critical",1,10000000,  0.126026
"reduce",1,10000000,0.0089739999
"atomic",1,10000000,0.098263003
"n_reduce",1,10000000,0.0091829998
"critical",2,10000000,  0.323881
"reduce",2,10000000,0.0045139999
"atomic",2,10000000,  0.351459
"n_reduce",2,10000000,0.0089389998
"critical",2,10000000,  0.385297
"reduce",2,10000000,0.0045449999
"atomic",2,10000000,0.40461701
"n_reduce",2,10000000,0.0044849999
"critical",2,10000000,0.29036999
"reduce",2,10000000,0.0047249999
"atomic",2,10000000,0.36123499
"n_reduce",2,10000000,0.0044880002
"critical",2,10000000,  0.262328
"reduce",2,10000000,0.0044749998
"atomic",2,10000000,   0.32646
"n_reduce",2,10000000,0.0046979999
"critical",2,10000000,   0.29639
"reduce",2,10000000,0.0044940002
"atomic",2,10000000,  0.372091
"n_reduce",2,10000000,0.0047220001
"critical",2,10000000,   0.37535
