name,nb_threads,n,runtime
3_1 parallelized nodes,1,3,0.815694
3_2 parallelized n r,1,3,0.837729
3 sequential,1,3,0.826374
3_1 parallelized nodes,1,3,0.832353
3_2 parallelized n r,1,3,0.819413
3 sequential,1,3,0.817718
3_1 parallelized nodes,1,3,0.822335
3_2 parallelized n r,1,3,0.809354
3 sequential,1,3,0.810492
3_1 parallelized nodes,1,3,0.799153
3_2 parallelized n r,1,3,0.822381
3 sequential,1,3,0.81721
3_1 parallelized nodes,1,3,0.801811
3_2 parallelized n r,1,3,0.817554
3 sequential,1,3,0.811415
3_1 parallelized nodes,1,3,0.812035
3_2 parallelized n r,1,3,0.806974
3 sequential,1,3,0.809592
3_1 parallelized nodes,1,3,0.829748
3_2 parallelized n r,1,3,0.801109
3 sequential,1,3,0.835622
3_1 parallelized nodes,1,3,0.822249
3_2 parallelized n r,1,3,0.816463
3 sequential,2,3,0.830585
3_1 parallelized nodes,2,3,0.531187
3_2 parallelized n r,2,3,0.494262
3 sequential,2,3,0.823075
3_1 parallelized nodes,2,3,0.545643
3_2 parallelized n r,2,3,0.497814
3 sequential,2,3,0.825458
3_1 parallelized nodes,2,3,0.540261
3_2 parallelized n r,2,3,0.474929
3 sequential,2,3,0.81995
3_1 parallelized nodes,2,3,0.559752
3_2 parallelized n r,2,3,0.500873
3 sequential,2,3,0.815238
3_1 parallelized nodes,2,3,0.582362
3_2 parallelized n r,2,3,0.479056
3 sequential,2,3,0.807068
3_1 parallelized nodes,2,3,0.543717
3_2 parallelized n r,2,3,0.481982
3 sequential,2,3,0.810482
3_1 parallelized nodes,2,3,0.511533
3_2 parallelized n r,2,3,0.53124
3 sequential,2,3,0.822749
3_1 parallelized nodes,2,3,0.536887
3_2 parallelized n r,2,3,0.485465
3 sequential,2,3,0.812241
3_1 parallelized nodes,2,3,0.524775
3_2 parallelized n r,2,3,0.490353
3 sequential,2,3,0.80532
3_1 parallelized nodes,2,3,0.523115
3_2 parallelized n r,2,3,0.497779
3 sequential,4,3,0.813286
3_1 parallelized nodes,4,3,0.432775
3_2 parallelized n r,4,3,0.332177
3 sequential,4,3,0.802828
3_1 parallelized nodes,4,3,0.411142
3_2 parallelized n r,4,3,0.306239
3 sequential,4,3,0.814645
3_1 parallelized nodes,4,3,0.419066
3_2 parallelized n r,4,3,0.316577
3 sequential,4,3,0.801503
3_1 parallelized nodes,4,3,0.402035
3_2 parallelized n r,4,3,0.349268
3 sequential,4,3,0.800887
3_1 parallelized nodes,4,3,0.417198
3_2 parallelized n r,4,3,0.343547
3 sequential,4,3,0.808834
3_1 parallelized nodes,4,3,0.393133
3_2 parallelized n r,4,3,0.334256
3 sequential,4,3,0.808728
3_1 parallelized nodes,4,3,0.403753
3_2 parallelized n r,4,3,0.326307
3 sequential,4,3,0.80205
3_1 parallelized nodes,4,3,0.433226
3_2 parallelized n r,4,3,0.354337
3 sequential,4,3,0.805199
3_1 parallelized nodes,4,3,0.417491
3_2 parallelized n r,4,3,0.359651
3 sequential,4,3,0.803481
3_1 parallelized nodes,4,3,0.410115
3_2 parallelized n r,4,3,0.343083
3 sequential,8,3,0.809371
3_1 parallelized nodes,8,3,0.403025
3_2 parallelized n r,8,3,0.221717
3 sequential,8,3,0.812759
3_1 parallelized nodes,8,3,0.389352
3_2 parallelized n r,8,3,0.261121
3 sequential,8,3,0.803951
3_1 parallelized nodes,8,3,0.397171
3_2 parallelized n r,8,3,0.232258
3 sequential,8,3,0.819061
3_1 parallelized nodes,8,3,0.396179
3_2 parallelized n r,8,3,0.258951
3 sequential,8,3,0.816457
3_1 parallelized nodes,8,3,0.410407
3_2 parallelized n r,8,3,0.232447
3 sequential,8,3,0.806499
3_1 parallelized nodes,8,3,0.397818
3_2 parallelized n r,8,3,0.250309
3 sequential,8,3,0.806356
3_1 parallelized nodes,8,3,0.401874
3_2 parallelized n r,8,3,0.243965
3 sequential,8,3,0.801492
3_1 parallelized nodes,8,3,0.405773
3_2 parallelized n r,8,3,0.249696
3 sequential,8,3,0.808617
3_1 parallelized nodes,8,3,0.433327
3_2 parallelized n r,8,3,0.258628
3 sequential,8,3,0.823622
3_1 parallelized nodes,8,3,0.412037
3_2 parallelized n r,8,3,0.250425
3 sequential,1,4,1.392859
3_1 parallelized nodes,1,4,1.389827
3_2 parallelized n r,1,4,1.397859
3 sequential,1,4,1.380022
3_1 parallelized nodes,1,4,1.386039
3_2 parallelized n r,1,4,1.410724
3 sequential,1,4,1.366498
3_1 parallelized nodes,1,4,1.374515
3_2 parallelized n r,1,4,1.378134
3 sequential,1,4,1.35798
3_1 parallelized nodes,1,4,1.367038
3_2 parallelized n r,1,4,1.413321
3 sequential,1,4,1.38429
3_1 parallelized nodes,1,4,1.378616
3_2 parallelized n r,1,4,1.389768
3 sequential,1,4,1.355352
3_1 parallelized nodes,1,4,1.357659
3_2 parallelized n r,1,4,1.404967
3 sequential,1,4,1.354602
3_1 parallelized nodes,1,4,1.361946
3_2 parallelized n r,1,4,1.379287
3 sequential,1,4,1.359573
3_1 parallelized nodes,1,4,1.356988
3_2 parallelized n r,1,4,1.382066
3 sequential,1,4,1.367951
3_1 parallelized nodes,1,4,1.351459
3_2 parallelized n r,1,4,1.373039
3 sequential,1,4,1.35405
3_1 parallelized nodes,1,4,1.352303
3_2 parallelized n r,1,4,1.383358
3 sequential,2,4,1.364494
3_1 parallelized nodes,2,4,0.882344
3_2 parallelized n r,2,4,0.907605
3 sequential,2,4,1.355158
3_1 parallelized nodes,2,4,0.863661
3_2 parallelized n r,2,4,0.859798
3 sequential,2,4,1.36
3_1 parallelized nodes,2,4,0.87506
3_2 parallelized n r,2,4,0.883607
3 sequential,2,4,1.353456
3_1 parallelized nodes,2,4,0.909357
3_2 parallelized n r,2,4,0.884222
3 sequential,2,4,1.360338
3_1 parallelized nodes,2,4,0.887565
3_2 parallelized n r,2,4,0.887635
3 sequential,2,4,1.358755
3_1 parallelized nodes,2,4,0.939625
3_2 parallelized n r,2,4,0.911815
3 sequential,2,4,1.351845
3_1 parallelized nodes,2,4,0.86691
3_2 parallelized n r,2,4,0.897582
3 sequential,2,4,1.360138
3_1 parallelized nodes,2,4,0.907003
3_2 parallelized n r,2,4,0.878816
3 sequential,2,4,1.369662
3_1 parallelized nodes,2,4,0.90435
3_2 parallelized n r,2,4,0.925089
3 sequential,2,4,1.35336
3_1 parallelized nodes,2,4,0.912986
3_2 parallelized n r,2,4,0.860608
3 sequential,4,4,1.354116
3_1 parallelized nodes,4,4,0.729598
3_2 parallelized n r,4,4,0.572117
3 sequential,4,4,1.36567
3_1 parallelized nodes,4,4,0.701211
3_2 parallelized n r,4,4,0.598766
3 sequential,4,4,1.354037
3_1 parallelized nodes,4,4,0.672532
3_2 parallelized n r,4,4,0.494866
3 sequential,4,4,1.391862
3_1 parallelized nodes,4,4,0.722208
3_2 parallelized n r,4,4,0.558926
3 sequential,4,4,1.384874
3_1 parallelized nodes,4,4,0.735965
3_2 parallelized n r,4,4,0.579423
3 sequential,4,4,1.357257
3_1 parallelized nodes,4,4,0.716785
3_2 parallelized n r,4,4,0.574295
3 sequential,4,4,1.361754
3_1 parallelized nodes,4,4,0.713282
3_2 parallelized n r,4,4,0.579109
3 sequential,4,4,1.367732
3_1 parallelized nodes,4,4,0.697396
3_2 parallelized n r,4,4,0.570803
3 sequential,4,4,1.363228
3_1 parallelized nodes,4,4,0.729454
3_2 parallelized n r,4,4,0.551928
3 sequential,4,4,1.368834
3_1 parallelized nodes,4,4,0.728758
3_2 parallelized n r,4,4,0.564691
3 sequential,8,4,1.358355
3_1 parallelized nodes,8,4,0.612796
3_2 parallelized n r,8,4,0.415592
3 sequential,8,4,1.372497
3_1 parallelized nodes,8,4,0.615208
3_2 parallelized n r,8,4,0.378857
3 sequential,8,4,1.355704
3_1 parallelized nodes,8,4,0.603362
3_2 parallelized n r,8,4,0.388674
3 sequential,8,4,1.354372
3_1 parallelized nodes,8,4,0.641674
3_2 parallelized n r,8,4,0.365433
3 sequential,8,4,1.361344
3_1 parallelized nodes,8,4,0.627004
3_2 parallelized n r,8,4,0.402993
3 sequential,8,4,1.366217
3_1 parallelized nodes,8,4,0.618117
3_2 parallelized n r,8,4,0.397959
3 sequential,8,4,1.354682
3_1 parallelized nodes,8,4,0.623941
3_2 parallelized n r,8,4,0.369553
3 sequential,8,4,1.358547
3_1 parallelized nodes,8,4,0.617837
3_2 parallelized n r,8,4,0.429198
3 sequential,8,4,1.363392
3_1 parallelized nodes,8,4,0.637064
3_2 parallelized n r,8,4,0.397338
3 sequential,8,4,1.361492
3_1 parallelized nodes,8,4,0.627089
3_2 parallelized n r,8,4,0.388518
3 sequential,1,5,2.374887
3_1 parallelized nodes,1,5,2.355508
3_2 parallelized n r,1,5,2.334111
3 sequential,1,5,2.341908
3_1 parallelized nodes,1,5,2.321735
3_2 parallelized n r,1,5,2.301276
3 sequential,1,5,2.352738
3_1 parallelized nodes,1,5,2.322526
3_2 parallelized n r,1,5,2.299122
3 sequential,1,5,2.331717
3_1 parallelized nodes,1,5,2.591184
3_2 parallelized n r,1,5,2.731111
3 sequential,1,5,2.580584
3_1 parallelized nodes,1,5,2.441137
3_2 parallelized n r,1,5,2.489594
3 sequential,1,5,2.536577
3_1 parallelized nodes,1,5,2.558604
3_2 parallelized n r,1,5,2.608135
3 sequential,1,5,2.525806
3_1 parallelized nodes,1,5,2.493546
3_2 parallelized n r,1,5,3.001447
3 sequential,1,5,2.912019
3_1 parallelized nodes,1,5,2.705147
3_2 parallelized n r,1,5,2.732831
3 sequential,1,5,2.719294
3_1 parallelized nodes,1,5,2.744806
3_2 parallelized n r,1,5,2.887415
3 sequential,1,5,2.811992
3_1 parallelized nodes,1,5,3.145646
3_2 parallelized n r,1,5,2.583253
3 sequential,2,5,2.515202
3_1 parallelized nodes,2,5,1.719212
3_2 parallelized n r,2,5,1.578366
3 sequential,2,5,2.713196
3_1 parallelized nodes,2,5,1.782195
3_2 parallelized n r,2,5,1.462016
3 sequential,2,5,2.634586
3_1 parallelized nodes,2,5,1.902891
3_2 parallelized n r,2,5,1.676432
3 sequential,2,5,2.670634
3_1 parallelized nodes,2,5,1.924403
3_2 parallelized n r,2,5,1.622711
3 sequential,2,5,2.832326
3_1 parallelized nodes,2,5,1.7183
3_2 parallelized n r,2,5,1.552696
3 sequential,2,5,2.671497
3_1 parallelized nodes,2,5,1.84133
3_2 parallelized n r,2,5,1.478859
3 sequential,2,5,2.885256
3_1 parallelized nodes,2,5,2.206969
3_2 parallelized n r,2,5,1.848818
3 sequential,2,5,2.766902
3_1 parallelized nodes,2,5,2.007929
3_2 parallelized n r,2,5,1.561037
3 sequential,2,5,2.66859
3_1 parallelized nodes,2,5,1.733057
3_2 parallelized n r,2,5,1.385006
3 sequential,2,5,2.37482
3_1 parallelized nodes,2,5,1.579979
3_2 parallelized n r,2,5,1.399247
3 sequential,4,5,2.364598
3_1 parallelized nodes,4,5,1.2761
3_2 parallelized n r,4,5,0.958018
3 sequential,4,5,2.354657
3_1 parallelized nodes,4,5,1.313325
3_2 parallelized n r,4,5,0.962653
3 sequential,4,5,2.353061
3_1 parallelized nodes,4,5,1.277755
3_2 parallelized n r,4,5,1.025707
3 sequential,4,5,2.369383
3_1 parallelized nodes,4,5,1.276393
3_2 parallelized n r,4,5,1.077563
3 sequential,4,5,2.386126
